Filename,STFMK-20201105-LW19-2328_20201201_064328_004.dat
Motor Spec,L-CAHU-01R, 1750,11, 22,
Sample Rate,4000
RMS,0.014775,
0.0185116529,
0.0077358312,
0.0306295995,
0.0220510922,
0.0117576867,
0.0044199238,
0.0103563061,
-0.0161674656,
-0.0142937163,
0.0040008575,
-0.0157774091,
0.0026114043,
0.0146982782,
0.0140801407,
0.0041035283,
0.0224097800,
0.0006344172,
-0.0036044568,
-0.0152512565,
-0.0071674269,
-0.0248850156,
-0.0030577697,
-0.0041591385,
0.0069581326,
0.0144379046,
0.0175447464,
0.0138030378,
0.0054575372,
-0.0024572180,
-0.0188219436,
-0.0126345828,
-0.0259547643,
-0.0191239119,
-0.0108808596,
0.0016344023,
-0.0082979901,
0.0168794282,
-0.0003540688,
-0.0065453821,
-0.0115721207,
-0.0158054605,
-0.0329299048,
-0.0190027021,
-0.0203870945,
-0.0102627845,
-0.0088238148,
0.0133882388,
0.0024067613,
0.0028080922,
0.0102512762,
-0.0041515823,
-0.0146123962,
-0.0208129883,
-0.0136192841,
-0.0284963809,
-0.0074928934,
-0.0133334510,
0.0007568576,
0.0047579729,
0.0085923830,
-0.0012219524,
-0.0067390199,
-0.0129239028,
-0.0214756280,
-0.0213029254,
-0.0220324919,
-0.0121591780,
-0.0006698141,
0.0066360133,
0.0114266481,
0.0200317223,
0.0121661844,
0.0020173613,
0.0011195653,
-0.0115855411,
-0.0174065121,
-0.0062374021,
-0.0006800925,
-0.0079423171,
0.0038147508,
0.0219990518,
0.0058423849,
0.0116678318,
0.0113609666,
-0.0003809029,
-0.0083945217,
0.0011039849,
-0.0136769554,
-0.0091691958,
0.0106590278,
0.0087745767,
0.0189990066,
0.0298955515,
0.0270455871,
0.0198763311,
0.0161590073,
0.0007157745,
-0.0077286107,
-0.0011856321,
-0.0053394819,
0.0104604336,
0.0183302984,
0.0182664618,
0.0306115113,
0.0310614686,
0.0110299746,
0.0057216990,
0.0089407489,
-0.0104011493,
-0.0076419422,
0.0074378233,
0.0103172194,
0.0054863552,
0.0260809399,
0.0274042971,
0.0179180354,
0.0340109169,
0.0152942734,
0.0024240999,
0.0071785729,
0.0045507369,
0.0001918017,
0.0085442010,
0.0181919914,
0.0186789259,
0.0275145937,
0.0184384771,
0.0178060569,
0.0054337601,
0.0009761680,
-0.0090973275,
-0.0086957924,
-0.0056339218,
0.0040082387,
0.0136556178,
0.0113325706,
0.0170580521,
0.0208269879,
0.0135982167,
0.0014690018,
0.0057028700,
-0.0051040365,
-0.0142239705,
-0.0040369183,
0.0061646807,
-0.0012947922,
0.0115517396,
0.0136091132,
0.0131543260,
0.0085872374,
0.0099470448,
-0.0076726303,
-0.0086469958,
-0.0191331450,
0.0000889346,
-0.0150869926,
-0.0012206949,
0.0065364507,
0.0057843728,
0.0037763407,
0.0035555572,
0.0015479431,
-0.0270392001,
-0.0075875870,
-0.0209408179,
-0.0200675540,
-0.0184835177,
0.0075819292,
-0.0018236176,
-0.0015800367,
0.0008582370,
-0.0040129470,
-0.0189668424,
-0.0217522830,
-0.0263579823,
-0.0324025489,
-0.0256553888,
-0.0234388635,
-0.0105913393,
-0.0042323354,
-0.0069940039,
0.0010512123,
0.0035490850,
-0.0159377921,
-0.0137034720,
-0.0212074593,
-0.0242440049,
-0.0238690861,
-0.0092121409,
