Filename,STFMK-20201105-LW19-2373_20201223_091827_004.dat
Motor Spec,L-SF-04, 1760,2.2, 4.7,
Sample Rate,4000
RMS,0.007093,
-0.0029775265,
0.0028621950,
0.0027882701,
-0.0030810079,
-0.0069733569,
-0.0010744407,
0.0001309365,
-0.0062133363,
-0.0068921917,
0.0002654160,
0.0043164515,
0.0028286504,
-0.0007315032,
0.0106377704,
0.0153016169,
0.0131915975,
0.0050617177,
0.0119946245,
0.0173023120,
0.0110840090,
0.0081860451,
0.0103576034,
0.0126111656,
0.0145193301,
0.0066656992,
0.0011878469,
0.0057593491,
0.0071775983,
-0.0013917034,
-0.0043021892,
-0.0028038702,
0.0071711224,
0.0037835687,
0.0008384797,
0.0083978483,
0.0157826431,
0.0138571169,
0.0097534051,
0.0144994892,
0.0193071608,
0.0145195508,
0.0051601971,
0.0037982794,
0.0064145271,
0.0012071966,
-0.0053371810,
-0.0097707752,
-0.0012026761,
-0.0003499813,
-0.0054575410,
-0.0028058791,
0.0031277766,
0.0066625653,
0.0044941772,
0.0006349791,
0.0034202810,
0.0067081819,
0.0016917891,
-0.0051139817,
-0.0018471292,
0.0038667419,
0.0029403369,
-0.0043146634,
-0.0052595395,
0.0019870526,
0.0017079675,
-0.0060589653,
-0.0101063102,
-0.0048762034,
-0.0020466282,
-0.0077326638,
-0.0112583246,
-0.0053913640,
0.0001558482,
-0.0046363375,
-0.0086458102,
-0.0024433760,
-0.0015346218,
-0.0026796188,
-0.0113654798,
-0.0093402984,
-0.0014192057,
-0.0050625261,
-0.0124348663,
-0.0125539387,
-0.0066633867,
-0.0055025802,
-0.0086422209,
-0.0093290564,
-0.0026672082,
0.0000861009,
-0.0038883528,
-0.0060144020,
-0.0079738796,
-0.0017788578,
-0.0061927433,
-0.0125827687,
-0.0109378975,
-0.0033611101,
-0.0048648175,
-0.0130251627,
-0.0091288872,
0.0003854885,
0.0045861872,
0.0006594463,
-0.0073786015,
-0.0005464375,
0.0042945952,
-0.0020523239,
-0.0010073521,
0.0012943109,
0.0068051890,
0.0027973009,
-0.0020701648,
0.0031167050,
0.0061756689,
0.0041664573,
-0.0061724964,
-0.0000537907,
-0.0012282004,
-0.0039576832,
-0.0087882923,
-0.0138647584,
-0.0035618492,
-0.0012225828,
-0.0053379410,
-0.0047706719,
-0.0002956390,
0.0078377305,
0.0071988571,
0.0071566682,
0.0115892999,
0.0124417292,
0.0046503143,
-0.0029725446,
0.0003514392,
0.0035022816,
0.0000561002,
-0.0092629027,
-0.0111757070,
-0.0027381419,
-0.0028367643,
-0.0100024436,
-0.0085900109,
0.0015790537,
0.0077365069,
0.0034226419,
0.0028031864,
0.0107232714,
0.0140500898,
0.0058819824,
0.0095643438,
0.0160085205,
0.0167816021,
0.0066341255,
0.0036614453,
0.0038975007,
0.0090832580,
0.0105296765,
0.0038572119,
-0.0007042106,
0.0027632460,
0.0022608284,
-0.0028376540,
-0.0061400835,
0.0022908682,
0.0066767344,
0.0016827201,
-0.0025677078,
0.0099430559,
0.0133591788,
0.0120899379,
0.0066126781,
0.0147990827,
0.0197926741,
0.0131529802,
0.0079445802,
0.0051695206,
0.0059403665,
0.0009979884,
-0.0038596252,
-0.0037110280,
-0.0020974833,
0.0002620506,
-0.0086056152,
-0.0105997138,
-0.0018897667,
0.0052928915,
0.0061969543,
-0.0015970664,
-0.0022212258,
0.0030774556,
0.0012324831,
-0.0024787467,
0.0012000590,
0.0070174597,
0.0023642629,
-0.0060992520,
-0.0017198337,
0.0050075725,
0.0017200889,
-0.0054571331,
-0.0100724315,
-0.0064401045,
-0.0032221831,
-0.0111025209,
-0.0119398218,
-0.0060334327,
-0.0017661790,
-0.0038446418,
-0.0079303961,
0.0020024369,
0.0060741883,
0.0009697027,
-0.0072147185,
-0.0009620239,
0.0031743709,
-0.0062098987,
-0.0131668374,
-0.0119785070,
-0.0062450739,
-0.0083899004,
-0.0109499637,
-0.0113004306,
-0.0093779722,
-0.0045711691,
-0.0042303740,
-0.0048572863,
0.0045450027,
0.0050726491,
0.0018800078,
-0.0025166178,
-0.0045629679,
0.0000756216,
-0.0040665031,
-0.0143882707,
-0.0118937707,
-0.0069641722,
-0.0049037477,
-0.0107157454,
-0.0066818176,
0.0000353670,
0.0011775214,
-0.0042438013,
-0.0042671436,
0.0034717955,
0.0033737193,
-0.0015645877,
-0.0023707268,
0.0021159649,
0.0086738393,
0.0029356685,
-0.0023782181,
0.0018279324,
0.0019167828,
0.0004221541,
-0.0024980120,
-0.0077975071,
-0.0014233304,
-0.0036989893,
-0.0094625531,
-0.0110799409,
-0.0014132239,
0.0037186714,
0.0008733232,
0.0009232701,
0.0050885119,
0.0122649176,
0.0077921543,
0.0039793747,
0.0085110925,
0.0091030812,
0.0079423832,
0.0001688207,
-0.0017533073,
0.0034106870,
0.0017962157,
-0.0072148605,
-0.0099290200,
0.0016758604,
0.0008400765,
-0.0060859462,
-0.0059500732,
0.0043891706,
0.0115110809,
0.0057441178,
0.0049580163,
0.0110358577,
0.0123094218,
0.0101101156,
0.0026780765,
0.0062289014,
0.0101457890,
0.0096908575,
0.0015496362,
0.0012258110,
0.0072523942,
0.0042818929,
-0.0003412954,
-0.0037605148,
0.0034685689,
0.0014346342,
-0.0066015730,
-0.0075159250,
0.0025559533,
0.0090936217,
0.0049182302,
0.0038572629,
0.0117965341,
0.0168572348,
0.0119612096,
0.0072863977,
0.0125654796,
0.0123241544,
0.0065070135,
0.0010550485,
0.0009608196,
0.0018051099,
-0.0005945765,
-0.0077544572,
-0.0089566298,
-0.0016928902,
0.0008633608,
-0.0011410408,
-0.0055518835,
-0.0018796324,
0.0098969033,
0.0039672283,
-0.0016598123,
0.0019625011,
0.0045693284,
0.0005647461,
-0.0038130840,
-0.0003486042,
0.0053725154,
-0.0001919899,
-0.0089091528,
-0.0068216184,
-0.0004315644,
0.0016468575,
-0.0056852056,
-0.0071003251,
-0.0035004274,
0.0001587105,
-0.0046056458,
-0.0106519312,
-0.0066209491,
-0.0004389302,
-0.0018372572,
-0.0054407055,
-0.0013823177,
0.0031014187,
-0.0058643101,
-0.0128237763,
-0.0125534032,
-0.0045112297,
-0.0016353505,
-0.0095412116,
-0.0133111123,
